Name,Company,Industry,Net Sales (million),Net income (million),Salary (000),Bonus,Other annual comp,Total compensation,Total comp with options ($000),Total comp + opt exer,All other pay,Percent stock owned,CEO?,Full Title,Sex,Age,GVKEY,SP Industry Code,SIC,SIC Desc,Id,Annual CEO
James Petillo,XCEL ENERGY INC,Utility,7937.516,622.392,316.25,200.463,4.063,516.713,3334.441,3334.441,2000,,,president-energy delivery supply,MALE,.,7977,5510,4931,ELECTRIC & OTHER SERV COMB,25427,
Patricia Vincent,XCEL ENERGY INC,Utility,7937.516,622.392,368.333,283.235,3.806,651.568,693.034,693.034,0,,,president-customer and field operations,FEMALE,.,7977,5510,4931,ELECTRIC & OTHER SERV COMB,26911,
William Osborn,NORTHERN TRUST CORP,Financial,2580.1,404.8,968.75,0,5.984,968.75,5165.181,4322.018,0,,CEO,"chairman, president & CEO",MALE,56,7982,4020,6020,COMMERCIAL BANKS,3655,CEO
Perry Pero,NORTHERN TRUST CORP,Financial,2580.1,404.8,472.5,0,0,472.5,2849.556,5000.187,0,,,vice chairman & chief finance officer,MALE,.,7982,4020,6020,COMMERCIAL BANKS,3657,
Peter Rossiter,NORTHERN TRUST CORP,Financial,2580.1,404.8,437.5,200,0,637.5,2323.131,2864.587,0,,,executive vp-corporate risk management,MALE,.,7982,4020,6020,COMMERCIAL BANKS,4888,
Mark Stevens,NORTHERN TRUST CORP,Financial,2580.1,404.8,495,0,0.205,495,5401.807,6297.517,0,,,vice chairman,MALE,.,7982,4020,6020,COMMERCIAL BANKS,11967,
Stephen Timbers,NORTHERN TRUST CORP,Financial,2580.1,404.8,535,0,0,535,2341.369,1565.666,0,,,vice chairman; president-Northern Trust Global Investments,MALE,.,7982,4020,6020,COMMERCIAL BANKS,16133,
William Morrison,NORTHERN TRUST CORP,Financial,2580.1,404.8,450,0,0,450,2120.827,1369.625,0,,,president-personal financial services,MALE,.,7982,4020,6020,COMMERCIAL BANKS,26743,
Kent Kresa,NORTHROP GRUMMAN CORP,Industrial,26206,866,632,900,128.628,1532,3991.353,3991.353,0,,,chairman & CEO,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",1654,
"Richard Waugh, Jr.",NORTHROP GRUMMAN CORP,Industrial,26206,866,647.009,700,0,1347.009,2870.898,2241.184,0,,,corporate vp & chief finance officer,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",1658,
Herbert Anderson,NORTHROP GRUMMAN CORP,Industrial,26206,866,578.169,700,0,1278.169,2713.441,2083.727,0,,,corporate vp; president-information technology,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",19059,
Ronald Sugar,NORTHROP GRUMMAN CORP,Industrial,26206,866,1040.39,2650,74.292,3690.39,10574.559,5867.245,0,,CEO,"chairman, president & CEO",MALE,55,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",23659,CEO
Robert Iorizzo,NORTHROP GRUMMAN CORP,Industrial,26206,866,591.675,715,72.459,1306.675,2444.557,1751.872,0,,,corporate vp; president-electronic system,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",25298,
Donald Winter,NORTHROP GRUMMAN CORP,Industrial,26206,866,503.424,680,63.789,1183.424,6284.542,5654.828,4400,,,corporate vp; president-mission systems,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",27477,
W. Terry,NORTHROP GRUMMAN CORP,Industrial,26206,866,495.926,650,0,1145.926,2053.549,1581.264,0,,,corporate vp & general counsel,MALE,.,7985,2010,3812,"SRCH,DET,NAV,GUID,AERO SYS",27478,
Bruce DeBolt,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,238.833,90,0.305,328.833,358.435,384.501,0,,,senior vp & chief finance officer,MALE,.,7993,5510,4924,NATURAL GAS DISTRIBUTION,6366,
Michael McCoy,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,238.833,100,0.424,338.833,358.858,501.551,0,,,executive vp,MALE,.,7993,5510,4924,NATURAL GAS DISTRIBUTION,6369,
Mark Dodson,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,390,250,1.585,640,662.396,666.936,0,,CEO,president & CEO,MALE,59,7993,5510,4924,NATURAL GAS DISTRIBUTION,16772,CEO
Beth Ugoretz,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,200.004,68,0.154,268.004,275.479,275.479,0,,,senior vp & general counsel,FEMALE,.,7993,5510,4924,NATURAL GAS DISTRIBUTION,27562,
Gregg Kantor,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,157.5,58,0,215.5,222.717,222.717,0,,,senior vp,MALE,.,7993,5510,4924,NATURAL GAS DISTRIBUTION,27563,
David Weber,NORTHWEST NATURAL GAS CO,Utility,611.256,45.983,168.359,64,0,232.359,272.078,272.078,30,,,chief information officer,MALE,.,7993,5510,4924,NATURAL GAS DISTRIBUTION,27564,
Richard Kovacevich,WELLS FARGO & CO,Financial,31800,6202,995,7500,1.513,8495,19920.761,36388.169,0,,CEO,"chairman, president & CEO",MALE,60,8007,4010,6020,COMMERCIAL BANKS,1659,CEO
David Hoyt,WELLS FARGO & CO,Financial,31800,6202,545.833,2750,0.828,3295.833,7608.798,3429.911,0,,,group executive vp-wholesale banking,MALE,.,8007,4010,6020,COMMERCIAL BANKS,18685,
C. Edwards,WELLS FARGO & CO,Financial,31800,6202,500,2000,0,2500,6686.513,6256.131,0,,,executive vp-technology and operations,MALE,.,8007,4010,6020,COMMERCIAL BANKS,21106,
Mark Oman,WELLS FARGO & CO,Financial,31800,6202,500,2500,5.932,3000,7357.2,8028.878,0,,,group executive vp-mortgage and home equity,MALE,.,8007,4010,6020,COMMERCIAL BANKS,23598,
John Stumpf,WELLS FARGO & CO,Financial,31800,6202,450,1900,183.696,2350,6164.644,2682.196,0,,,group executive vp-community banking,MALE,.,8007,4010,6020,COMMERCIAL BANKS,25056,
Howard Atkins,WELLS FARGO & CO,Financial,31800,6202,550,2200,148.326,2750,5517.735,3030.326,0,,,executive vp & chief finance officer,MALE,.,8007,4010,6020,COMMERCIAL BANKS,25057,
Daniel DiMicco,NUCOR CORP,Materials,6265.823,62.781,670,427.125,0,1097.125,1828.763,1512.402,0,,CEO,"vice chairman, president & CEO",MALE,53,8030,1510,3312,STEEL WORKS & BLAST FURNACES,4889,CEO
D. Parrish,NUCOR CORP,Materials,6265.823,62.781,347.7,221.659,0,569.359,905.835,882.999,0,,,executive vp,MALE,51,8030,1510,3312,STEEL WORKS & BLAST FURNACES,16309,
Joseph Rutkowski,NUCOR CORP,Materials,6265.823,62.781,347.7,221.659,0,569.359,905.835,729.786,0,,,executive vp,MALE,49,8030,1510,3312,STEEL WORKS & BLAST FURNACES,18794,
Terry Lisenby,NUCOR CORP,Materials,6265.823,62.781,382.5,243.844,0,626.344,1014.079,802.814,0,,,"executive vp, chief finance officer & treasurer",MALE,52,8030,1510,3312,STEEL WORKS & BLAST FURNACES,21350,
"Hamilton Lott, Jr.",NUCOR CORP,Materials,6265.823,62.781,347.7,221.659,0,569.359,905.835,813.915,0,,,executive vp,MALE,54,8030,1510,3312,STEEL WORKS & BLAST FURNACES,21351,
John Ferriola,NUCOR CORP,Materials,6265.823,62.781,347.7,221.659,0,569.359,905.835,812.332,0,,,executive vp,MALE,51,8030,1510,3312,STEEL WORKS & BLAST FURNACES,26820,
James Watt,REMINGTON OIL&GAS CP  -CL B,Energy,182.579,42.924,400.008,358,0,758.008,1132.815,2612.817,0,0.5,CEO,president & CEO,MALE,54,8049,1010,1311,CRUDE PETROLEUM & NATURAL GS,15545,CEO
Steven Craig,REMINGTON OIL&GAS CP  -CL B,Energy,182.579,42.924,171,70,0,241,369.885,542.944,0,,,senior vp-planning and administration,MALE,52,8049,1010,1311,CRUDE PETROLEUM & NATURAL GS,15546,
J. Asher,REMINGTON OIL&GAS CP  -CL B,Energy,182.579,42.924,155.004,65,0,220.004,339.469,222.063,0,,,vp-finance & secretary,MALE,63,8049,1010,1311,CRUDE PETROLEUM & NATURAL GS,15547,
Robert Murphy,REMINGTON OIL&GAS CP  -CL B,Energy,182.579,42.924,290.004,300,0,590.004,910.743,1151.427,0,,,chief operating officer & senior vp-exploration and production,MALE,45,8049,1010,1311,CRUDE PETROLEUM & NATURAL GS,16965,
Gregory Cox,REMINGTON OIL&GAS CP  -CL B,Energy,182.579,42.924,174,105,0,279,471.941,964.574,0,,,vp-exploration,MALE,50,8049,1010,1311,CRUDE PETROLEUM & NATURAL GS,25925,
Ray Irani,OCCIDENTAL PETROLEUM CORP,Energy,9326,1527,1300,3120,384.625,4420,29972.535,33150.416,92.499,0.87,CEO,chairman & CEO,MALE,69,8068,1010,1311,CRUDE PETROLEUM & NATURAL GS,1674,CEO
Dale Laurance,OCCIDENTAL PETROLEUM CORP,Energy,9326,1527,1030,1750,76.74,2780,14340.72,23361.797,0,,,president,MALE,58,8068,1010,1311,CRUDE PETROLEUM & NATURAL GS,1675,
Donald de Brier,OCCIDENTAL PETROLEUM CORP,Energy,9326,1527,551,650,0,1201,5655.673,9750.859,0,,,"executive vp, general counsel & secretary",MALE,.,8068,1010,1311,CRUDE PETROLEUM & NATURAL GS,11971,
Stephen Chazen,OCCIDENTAL PETROLEUM CORP,Energy,9326,1527,600,900,0,1500,8947.772,12028.399,92.499,,,executive vp & chief finance officer,MALE,.,8068,1010,1311,CRUDE PETROLEUM & NATURAL GS,13993,
John Morgan,OCCIDENTAL PETROLEUM CORP,Energy,9326,1527,465,550,0,1015,4771.544,6055.422,0,,,executive vp-worldwide production,MALE,.,8068,1010,1311,CRUDE PETROLEUM & NATURAL GS,26742,
John Huff,OCEANEERING INTERNATIONAL,Energy,639.249,29.301,577.5,0,0,577.5,3216.288,2927.03,0,2.25,CEO,chairman & CEO,MALE,58,8079,1010,1389,"OIL & GAS FIELD SERVICES,NEC",6394,CEO
T. Collins,OCEANEERING INTERNATIONAL,Energy,639.249,29.301,292.5,0,0,292.5,1589.143,1398.458,0,,,president & chief operating officer,MALE,57,8079,1010,1389,"OIL & GAS FIELD SERVICES,NEC",6395,
"George Haubenreich, Jr.",OCEANEERING INTERNATIONAL,Energy,639.249,29.301,220,0,0,220,928.377,806.904,0,,,"senior vp, general counsel & secretary",MALE,.,8079,1010,1389,"OIL & GAS FIELD SERVICES,NEC",6398,
Marvin Migura,OCEANEERING INTERNATIONAL,Energy,639.249,29.301,225,0,0,225,935.377,813.904,0,,,senior vp & chief finance officer,MALE,.,8079,1010,1389,"OIL & GAS FIELD SERVICES,NEC",10401,
M. McEvoy,OCEANEERING INTERNATIONAL,Energy,639.249,29.301,227.5,0,0,227.5,949.184,965.761,0,,,senior vp,MALE,.,8079,1010,1389,"OIL & GAS FIELD SERVICES,NEC",24510,
H. Burg,FIRSTENERGY CORP,Utility,12307.047,465.133,1051.142,0,24.264,1051.142,4184.16,2694.387,777.685,,CEO,chairman & CEO,MALE,.,8099,5510,4911,ELECTRIC SERVICES,1686,CEO
Anthony Alexander,FIRSTENERGY CORP,Utility,12307.047,465.133,702.519,0,34.805,702.519,2052.552,1154.109,0,,,president & chief operating officer,MALE,52,8099,5510,4911,ELECTRIC SERVICES,1689,
Richard Marsh,FIRSTENERGY CORP,Utility,12307.047,465.133,375.556,0,13.267,375.556,884.637,619.404,0,,,senior vp & chief finance officer,MALE,.,8099,5510,4911,ELECTRIC SERVICES,18647,
Leila Vespoli,FIRSTENERGY CORP,Utility,12307.047,465.133,352.173,0,13.998,352.173,809.811,558.537,0,,,senior vp & general counsel,FEMALE,.,8099,5510,4911,ELECTRIC SERVICES,25370,
Kevin Keough,FIRSTENERGY CORP,Utility,12307.047,465.133,357.545,0,16.369,357.545,795.661,614.037,0,,,senior vp-FirstEnergy Service Company,MALE,.,8099,5510,4911,ELECTRIC SERVICES,26985,
Al Strecker,OGE ENERGY CORP,Utility,3779,129.8,460,433.939,0,893.939,1155.656,1115.432,0,,,executive vp & chief operating officer,MALE,.,8113,5510,4922,NATURAL GAS TRANSMISSION,3666,
Steven Moore,OGE ENERGY CORP,Utility,3779,129.8,710,772.817,0,1482.817,2033.865,1531.375,0,,CEO,"chairman, president & CEO",MALE,57,8113,5510,4922,NATURAL GAS TRANSMISSION,3667,CEO
Jack Coffman,OGE ENERGY CORP,Utility,3779,129.8,255,143.065,0,398.065,499.531,504.94,0,,,senior vp-power supply,MALE,.,8113,5510,4922,NATURAL GAS TRANSMISSION,9675,
James Hatfield,OGE ENERGY CORP,Utility,3779,129.8,310,221.932,0,531.932,688.748,560.083,0,,,senior vp & chief finance officer,MALE,.,8113,5510,4922,NATURAL GAS TRANSMISSION,12264,
Peter Delaney,OGE ENERGY CORP,Utility,3779,129.8,400,348.312,0,748.312,1008.935,765.017,0,,,"executive vp-finance and strategic planning; CEO-Enogex, Inc.",MALE,.,8113,5510,4922,NATURAL GAS TRANSMISSION,25514,
Anthony Ruggiero,OLIN CORP,Materials,1586,-24,446.25,69.595,0,515.845,831.522,534.848,0,,,executive vp & chief finance officer,MALE,62,8123,1510,3350,ROLLING & DRAW NONFER METAL,12104,
Peter Kosche,OLIN CORP,Materials,1586,-24,361.755,60.132,0,421.887,671.002,473.94,12.777,,,senior vp-corporate affairs,MALE,.,8123,1510,3350,ROLLING & DRAW NONFER METAL,14175,
Thomas Gura,OLIN CORP,Materials,1586,-24,390,39.422,0,429.422,667.525,442.462,0,,,executive vp-metals group,MALE,.,8123,1510,3350,ROLLING & DRAW NONFER METAL,16173,
Joseph Rupp,OLIN CORP,Materials,1586,-24,529.173,175,0,704.173,1108.722,731.572,7.979,,CEO,president & CEO,MALE,53,8123,1510,3350,ROLLING & DRAW NONFER METAL,18470,CEO
John McIntosh,OLIN CORP,Materials,1586,-24,292.506,120.034,0,412.54,539.426,480.118,0,,,vp; president-chlor alkali products division,MALE,.,8123,1510,3350,ROLLING & DRAW NONFER METAL,25487,
Edward Hutton,OMNICARE INC,Health,3499.174,194.368,267.125,41.125,38.152,308.25,1944.447,7715.983,598.045,,,chairman,MALE,84,8133,3510,5912,DRUG & PROPRIETARY STORES,6403,
Joel Gemunder,OMNICARE INC,Health,3499.174,194.368,1254.167,2089.749,71.265,3343.916,24805.042,25202.593,0,1.56,CEO,president & CEO,MALE,64,8133,3510,5912,DRUG & PROPRIETARY STORES,6404,CEO
Patrick Keefe,OMNICARE INC,Health,3499.174,194.368,381.583,229.178,11.117,610.761,4605.748,7576.238,0,,,executive vp-operations,MALE,.,8133,3510,5912,DRUG & PROPRIETARY STORES,6406,
Cheryl Hodges,OMNICARE INC,Health,3499.174,194.368,303.75,185.293,4.151,489.043,4232.894,6736.725,0,,,senior vp & secretary,FEMALE,.,8133,3510,5912,DRUG & PROPRIETARY STORES,6407,
"David Froesel, Jr.",OMNICARE INC,Health,3499.174,194.368,377,278.169,6.406,655.169,5271.835,7166.971,0,,,senior vp & chief finance officer,MALE,52,8133,3510,5912,DRUG & PROPRIETARY STORES,14356,
T. Bien,OMNICARE INC,Health,3499.174,194.368,274.083,188.337,6.537,462.42,3414.152,4374.879,0,,,senior vp-professional services and purchasing,MALE,.,8133,3510,5912,DRUG & PROPRIETARY STORES,27453,
J. Scott,ONEOK INC,Utility,2998.996,112.488,300,300,0,600,880.944,834.058,0,,,"president-ONEOK Energy Marketing and Trading Company, II",MALE,72,8151,5510,4923,NATURAL GAS TRANSMIS & DISTR,1690,
David Kyle,ONEOK INC,Utility,2998.996,112.488,700,836,0,1536,2947.696,2745.375,0,,CEO,"chairman, president & CEO",MALE,51,8151,5510,4923,NATURAL GAS TRANSMIS & DISTR,9677,CEO
James Kneale,ONEOK INC,Utility,2998.996,112.488,324,300,0,624,1012.084,956.371,0,,,"senior vp, treasurer & chief finance officer",MALE,.,8151,5510,4923,NATURAL GAS TRANSMIS & DISTR,15669,
"John Gaberino, Jr.",ONEOK INC,Utility,2998.996,112.488,255,135,0,390,595.45,583.397,0,,,senior vp & general counsel,MALE,.,8151,5510,4923,NATURAL GAS TRANSMIS & DISTR,18080,
John Gibson,ONEOK INC,Utility,2998.996,112.488,300,250,0,550,824.348,784.049,0,,,president-energy,MALE,.,8151,5510,4923,NATURAL GAS TRANSMIS & DISTR,24049,
Douglas Hyde,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,456,0,0,456,843.903,510.651,0,1.93,CEO,chairman & CEO,MALE,53,8193,2520,2300,APPAREL & OTHER FINISHED PDS,1695,CEO
David Omachinski,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,364,0,0,364,621.773,406.771,0,,,president & chief operating officer,MALE,52,8193,2520,2300,APPAREL & OTHER FINISHED PDS,5411,
Barbara Widder-Lowry,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,330,9.9,0,339.9,542.245,380.994,0,,,senior vp-product development,FEMALE,.,8193,2520,2300,APPAREL & OTHER FINISHED PDS,5412,
Paul Lowry,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,265,46.775,0,311.775,475.503,346.502,0,,,vp-corporate retail,MALE,52,8193,2520,2300,APPAREL & OTHER FINISHED PDS,9680,
Clifford Thompson,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,215,53.872,0,268.872,385.66,299.659,0,,,senior vp-operations,MALE,.,8193,2520,2300,APPAREL & OTHER FINISHED PDS,16852,
Mirian Lamberth,OSHKOSH B'GOSH INC  -CL A,Discretionary,417.272,7.189,278.549,14.891,0,293.44,386.561,300.56,0,,,vp-product design,FEMALE,34,8193,2520,2300,APPAREL & OTHER FINISHED PDS,26802,
Morton Hyman,OVERSEAS SHIPHOLDING GROUP,Energy,454.12,121.309,1236.923,1050,0,2286.923,18395.711,24441.174,15852.846,,CEO,"chairman, president & CEO",MALE,.,8210,1010,4412,DEEP SEA FRN TRANS-FREIGHT,3678,CEO
Robert Cowen,OVERSEAS SHIPHOLDING GROUP,Energy,454.12,121.309,575,646.947,0,1221.947,1237.853,3056.905,0,,,"senior vp, chief operating officer & secretary",MALE,55,8210,1010,4412,DEEP SEA FRN TRANS-FREIGHT,3680,
Myles Itkin,OVERSEAS SHIPHOLDING GROUP,Energy,454.12,121.309,605,680.701,0,1285.701,1301.852,2931.808,0,,,"senior vp, chief finance officer & treasurer",MALE,.,8210,1010,4412,DEEP SEA FRN TRANS-FREIGHT,9684,
Robert Johnston,OVERSEAS SHIPHOLDING GROUP,Energy,454.12,121.309,575,646.947,0,1221.947,1238.153,3012.239,0,,,senior vp & chief commercial officer,MALE,.,8210,1010,4412,DEEP SEA FRN TRANS-FREIGHT,19401,
Robert Swift,OVERSEAS SHIPHOLDING GROUP,Energy,454.12,121.309,425,478.179,0,903.179,919.62,1912.483,0,,,senior vp & head of shipping operations,MALE,.,8210,1010,4412,DEEP SEA FRN TRANS-FREIGHT,27711,
G. Minor III,OWENS & MINOR INC,Health,4244.067,53.641,751.583,500,0,1251.583,1903.865,2683.405,0,1.46,CEO,chairman & CEO,MALE,63,8213,3510,5047,"MED, DENTAL, HOSP EQ-WHSL",6427,CEO
Henry Berling,OWENS & MINOR INC,Health,4244.067,53.641,395.77,177.877,0,573.647,803.838,673.916,0,0.86,,executive vp,MALE,61,8213,3510,5047,"MED, DENTAL, HOSP EQ-WHSL",6429,
Craig Smith,OWENS & MINOR INC,Health,4244.067,53.641,552.635,311.145,0,863.78,1437.927,1385.923,0,,,president & chief operating officer,MALE,.,8213,3510,5047,"MED, DENTAL, HOSP EQ-WHSL",6431,
Jeffrey Kaczka,OWENS & MINOR INC,Health,4244.067,53.641,378,163.163,0,541.163,643.201,610.721,0,,,senior vp & chief finance officer,MALE,.,8213,3510,5047,"MED, DENTAL, HOSP EQ-WHSL",23848,
David Guzman,OWENS & MINOR INC,Health,4244.067,53.641,373.973,154.033,0,528.006,647.695,602.222,0,,,senior vp & chief information officer,MALE,.,8213,3510,5047,"MED, DENTAL, HOSP EQ-WHSL",23849,
Joseph Lemieux,OWENS-ILLINOIS INC,Materials,6059,-990.8,770,512,430.263,1282,3890.072,2461.161,0,0.59,CEO,chairman & CEO,MALE,73,8215,1510,3221,GLASS CONTAINERS,10947,CEO
Terry Wilkison,OWENS-ILLINOIS INC,Materials,6059,-990.8,355,167,95.483,522,1195.147,933.657,0,,,executive vp; general manager-plastics group,MALE,.,8215,1510,3221,GLASS CONTAINERS,13197,
Thomas Young,OWENS-ILLINOIS INC,Materials,6059,-990.8,355,167,105.216,522,1438.491,1002.723,0,,,executive vp & chief finance officer,MALE,60,8215,1510,3221,GLASS CONTAINERS,13199,
Peter Robinson,OWENS-ILLINOIS INC,Materials,6059,-990.8,622.024,584.003,115.634,1206.027,1800.256,1582.348,0,,,senior vp; general manager-Asia Pacific operations,MALE,.,8215,1510,3221,GLASS CONTAINERS,19117,
Franco Todisco,OWENS-ILLINOIS INC,Materials,6059,-990.8,596.313,150,0,746.313,1060.024,929.279,0,,,senior vp; general manager-European operations,MALE,.,8215,1510,3221,GLASS CONTAINERS,27391,
James Rohr,PNC FINANCIAL SVCS GROUP INC,Financial,5969,1001,882.692,1875,5.015,2757.692,10465.915,10509.56,0,,CEO,chairman & CEO,MALE,55,8245,4010,6020,COMMERCIAL BANKS,1711,CEO
Joseph Guyaux,PNC FINANCIAL SVCS GROUP INC,Financial,5969,1001,596.538,900,16.2,1496.538,5768.296,4388.992,0,,,president,MALE,.,8245,4010,6020,COMMERCIAL BANKS,16232,
Timothy Shack,PNC FINANCIAL SVCS GROUP INC,Financial,5969,1001,493.269,506.25,0,999.519,3816.062,3141.981,0,,,executive vp & chief information officer,MALE,.,8245,4010,6020,COMMERCIAL BANKS,23754,
William Demchak,PNC FINANCIAL SVCS GROUP INC,Financial,5969,1001,550.384,727.5,0,1277.884,2634.364,1597.293,0,,,vice chairman & chief finance officer,MALE,.,8245,4010,6020,COMMERCIAL BANKS,25023,
Joseph Whiteside,PNC FINANCIAL SVCS GROUP INC,Financial,5969,1001,441.346,717.188,0,1158.534,1851.265,1177.169,0,,,vice chairman,MALE,.,8245,4010,6020,COMMERCIAL BANKS,26783,
Raymond LeBoeuf,PPG INDUSTRIES INC,Materials,8756,494,950,1400,8.67,2350,12061.535,9416.357,0,,CEO,chairman & CEO,MALE,57,8247,1510,2851,"PAINTS, VARNISHES, LACQUERS",1718,CEO
William Hernandez,PPG INDUSTRIES INC,Materials,8756,494,415,375,4.137,790,3118.966,2565.696,0,,,senior vp-finance,MALE,.,8247,1510,2851,"PAINTS, VARNISHES, LACQUERS",11917,
Charles Bunch,PPG INDUSTRIES INC,Materials,8756,494,550,625,11.715,1175,4725.312,3667.962,0,,,president & chief operating officer,MALE,54,8247,1510,2851,"PAINTS, VARNISHES, LACQUERS",16073,
James Diggs,PPG INDUSTRIES INC,Materials,8756,494,385,330,6.263,715,2674.227,2817.902,0,,,senior vp & general counsel,MALE,.,8247,1510,2851,"PAINTS, VARNISHES, LACQUERS",20980,
M. Ludlow,PPG INDUSTRIES INC,Materials,8756,494,336.667,359.5,3.476,696.167,1503.533,1152.262,0,,,senior vp-OEM Coatings,MALE,.,8247,1510,2851,"PAINTS, VARNISHES, LACQUERS",26688,
David Hovind,PACCAR INC,Industrial,8194.9,526.5,790,632,0,1422,2688.305,4056.241,0,,,vice chairman,MALE,.,8253,2010,3711,MOTOR VEHICLES & CAR BODIES,1722,
Michael Tembreull,PACCAR INC,Industrial,8194.9,526.5,795,636,0,1431,2688.726,5472.751,0,,,vice chairman,MALE,57,8253,2010,3711,MOTOR VEHICLES & CAR BODIES,1724,
Mark Pigott,PACCAR INC,Industrial,8194.9,526.5,1100,1056,0,2156,4208.624,3235.239,0,1.01,CEO,chairman & CEO,MALE,50,8253,2010,3711,MOTOR VEHICLES & CAR BODIES,1725,CEO
Thomas Plimpton,PACCAR INC,Industrial,8194.9,526.5,596.538,456,0,1052.538,1778.766,2401.08,0,,,president,MALE,.,8253,2010,3711,MOTOR VEHICLES & CAR BODIES,12057,
Nicholas Panza,PACCAR INC,Industrial,8194.9,526.5,342.654,181.973,0,524.627,738.042,919.068,0,,,senior vp,MALE,.,8253,2010,3711,MOTOR VEHICLES & CAR BODIES,26739,
Gregory Rueger,PG&E CORP,Utility,10435,420,358,0,642.86,358,3329.301,3290.229,226.667,,,senior vp-generation & chief nuclear officer-Pacific Gas and Electric Compa,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,1730,
"Robert Glynn, Jr.",PG&E CORP,Utility,10435,420,1050,0,3154.268,1050,19898.694,16920.179,600,,CEO,"chairman, president & CEO; chairman-Pacific Gas and Electric Company",MALE,61,8264,5510,4931,ELECTRIC & OTHER SERV COMB,4895,CEO
Gordon Smith,PG&E CORP,Utility,10435,420,735,0,2402.048,735,11240.236,10376.712,420,,,senior vp; president & CEO-Pacific Gas and Electric Company,MALE,56,8264,5510,4931,ELECTRIC & OTHER SERV COMB,9075,
Bruce Worthington,PG&E CORP,Utility,10435,420,425,0,836.295,425,4895.291,4409.291,287.1,,,senior vp & general counsel,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,9076,
P. Iribe,PG&E CORP,Utility,10435,420,450,0,0,450,4523.124,4415.205,106.731,,,senior vp; executive vp-PG&E National Energy Group,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,18523,
Thomas King,PG&E CORP,Utility,10435,420,500,0,23.78,500,5138.327,4652.327,635.703,,,senior vp; senior vp & chief of utility ops-Pacific Gas & Electric Co,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,18524,
Kent Harvey,PG&E CORP,Utility,10435,420,302,0,0,302,2591.081,2720.361,195.807,,,"senior vp, chief finance officer & treasurer-Pacific Gas & Electric Co",MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,18525,
Peter Darbee,PG&E CORP,Utility,10435,420,490,0,2.368,490,6143.705,5522.875,303.333,,,senior vp & chief finance officer,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,21738,
G. Stanley,PG&E CORP,Utility,10435,420,305,0,2.368,305,3331.458,3007.253,190,,,senior vp-human resources,MALE,.,8264,5510,4931,ELECTRIC & OTHER SERV COMB,26786,
Stephen Baum,SEMPRA ENERGY,Utility,7887,659,1053.739,2159.4,0,3213.139,4958.311,3952.542,23.215,,CEO,"chairman, president & CEO",MALE,63,8272,5510,4932,GAS & OTHER SERV COMBINED,16245,CEO
Donald Felsinger,SEMPRA ENERGY,Utility,7887,659,630.823,884,0,1514.823,2221.213,1732.724,22.905,,,group president-Sempra Energy Global Enterprises,MALE,.,8272,5510,4932,GAS & OTHER SERV COMBINED,16246,
Neal Schmale,SEMPRA ENERGY,Utility,7887,659,499.328,600,0,1099.328,1620.54,1323.032,22.192,,,executive vp & chief finance officer,MALE,.,8272,5510,4932,GAS & OTHER SERV COMBINED,16247,
Edwin Guiles,SEMPRA ENERGY,Utility,7887,659,532.515,746.2,0,1278.715,1847.819,1905.869,23,,,group president-Sempra Energy Utilities,MALE,.,8272,5510,4932,GAS & OTHER SERV COMBINED,21101,
Frank Ault,SEMPRA ENERGY,Utility,7887,659,294.732,295,0,589.732,845.668,715.148,15.311,,,senior vp & controller,MALE,.,8272,5510,4932,GAS & OTHER SERV COMBINED,26799,
Arthur Hershaft,PAXAR CORP,IT,712,14.6,551.05,0,0,551.05,1042.353,551.05,0,8.05,CEO,chairman & CEO,MALE,66,8293,4520,2750,COMMERCIAL PRINTING,6442,CEO
Jack Plaxe,PAXAR CORP,IT,712,14.6,290,0,0,290,443.532,290,0,,,senior vp & chief finance officer,MALE,.,8293,4520,2750,COMMERCIAL PRINTING,6445,
